Date,YNDX,POLY,TCSG,OZON,OKEY,MDMG,QIWI,HHRU,GLTR,GEMC,FIXP,FIVE,ETLN,AGRO,UPRO,SFIN,ENPG,ENRU,PHOR,TRNFP,TGKA,TATNP,FLOT,AFKS,SELG,SGZH,CHMF,SBERP,SBER,SMLT,RNFT,HYDR,RUAL,RTKMP,RTKM,FEES,ROSN,RENI,PLZL,PIKK,NVTK,NLMK,MTSS,MOEX,MAGN,CBOM,MTLRP,MTLR,MGNT,MVID,LKOH,LSRG,IRAO,DSKY,GMKN,GAZP,VTBR,BSPB,BELU,AFLT,ALRS,MSNG
2022-01-01,4515.2,1315.0,6364.4,2238.5,43.81,825.0,615.0,3873.0,628.55,1014.3,558.5,1994.0,87.9,1187.0,2.624,528.8,918.0,0.872,5936.0,159900.0,0.010134,472.1,76.2,24.517,57.98,11.07,1619.8,289.74,305.47,5000.0,164.0,0.7493,73.755,76.3,86.22,0.16664,610.95,98.81,12964.5,1155.7,1774.4,218.68,304.65,156.46,70.835,7.041,321.0,127.5,5509.5,451.2,6683.0,614.6,4.385,126.74,23378.0,353.73,0.04945,84.18,3403.0,60.7,123.27,2.1405
2022-01-02,4515.2,1315.0,6364.4,2238.5,43.81,825.0,615.0,3873.0,628.55,1014.3,558.5,1994.0,87.9,1187.0,2.624,528.8,918.0,0.872,5936.0,159900.0,0.010134,472.1,76.2,24.517,57.98,11.07,1619.8,289.74,305.47,5000.0,164.0,0.7493,73.755,76.3,86.22,0.16664,610.95,98.81,12964.5,1155.7,1774.4,218.68,304.65,156.46,70.835,7.041,321.0,127.5,5509.5,451.2,6683.0,614.6,4.385,126.74,23378.0,353.73,0.04945,84.18,3403.0,60.7,123.27,2.1405
2022-01-03,4515.2,1315.0,6364.4,2238.5,43.81,825.0,615.0,3873.0,628.55,1014.3,558.5,1994.0,87.9,1187.0,2.624,528.8,918.0,0.872,5936.0,159900.0,0.010134,472.1,76.2,24.517,57.98,11.07,1619.8,289.74,305.47,5000.0,164.0,0.7493,73.755,76.3,86.22,0.16664,610.95,98.81,12964.5,1155.7,1774.4,218.68,304.65,156.46,70.835,7.041,321.0,127.5,5509.5,451.2,6683.0,614.6,4.385,126.74,23378.0,353.73,0.04945,84.18,3403.0,60.7,123.27,2.1405
2022-01-04,4479.8,1305.9,6264.6,2209.0,44.66,827.1,615.0,3898.0,633.5,1023.95,577.8,2019.0,90.08,1198.0,2.645,528.4,915.5,0.8722,5910.0,160100.0,0.0102,473.8,76.18,24.708,58.19,11.08,1603.4,289.01,304.24,4910.0,171.0,0.7577,74.15,77.15,86.05,0.17204,613.5,98.0,12996.0,1171.0,1788.6,218.4,304.95,155.95,71.4,7.102,325.8,127.2,5565.0,466.5,6728.0,613.0,4.4135,127.16,23314.0,352.55,0.0497,87.1,3424.0,63.3,123.82,2.095
2022-01-05,4275.0,1264.2,5805.0,2029.5,43.0,820.0,607.0,3510.0,607.9,1008.0,553.0,1966.5,96.0,1185.6,2.631,530.2,896.0,0.8694,5697.0,156500.0,0.010116,453.0,76.4,23.593,57.74,10.907,1575.2,274.8,287.01,4913.0,168.2,0.7341,73.65,76.65,83.71,0.16852,590.3,96.95,12551.5,1150.0,1707.8,213.62,298.3,148.24,69.175,7.036,315.05,124.73,5399.0,458.2,6522.0,612.2,4.234,124.04,23010.0,335.0,0.04736,86.11,3429.0,60.98,117.71,2.134
2022-01-06,4226.6,1250.3,5801.6,2061.0,43.42,812.0,610.5,3458.0,625.0,1009.45,560.0,1991.5,94.08,1170.0,2.617,528.8,930.0,0.865,5735.0,160000.0,0.010056,459.0,76.92,24.2,56.44,10.622,1584.0,279.05,293.92,4901.0,167.6,0.7477,74.54,76.05,84.24,0.16718,601.6,94.03,12315.0,1142.3,1749.0,213.82,299.2,149.02,71.17,6.99,316.0,122.4,5535.0,457.4,6699.0,586.0,4.2475,125.12,23280.0,346.13,0.048445,85.05,3353.0,62.96,119.33,2.1355
2022-01-07,4219.05,1244.475,5808.700000000001,2047.875,43.5325,811.05,607.375,3464.5,620.15,1008.7750000000001,551.725,1996.125,93.96,1165.05,2.6157500000000002,528.0,934.125,0.86405,5741.5,159275.0,0.010043,459.25,76.5875,24.11525,56.085,10.64775,1576.65,278.7375,293.3625,4900.75,166.9,0.7467,74.98,75.7875,84.09,0.16715,601.7,93.775,12299.125,1159.25,1751.4,213.445,298.3625,148.09,70.9775,6.987500000000001,315.0,123.39750000000001,5519.5,456.79999999999995,6718.0,597.5,4.259124999999999,125.165,23337.0,345.59749999999997,0.04857125,84.7,3352.0,62.975,118.8675,2.141
2022-01-08,4211.5,1238.65,5815.8,2034.75,43.644999999999996,810.1,604.25,3471.0,615.3,1008.1,543.45,2000.75,93.84,1160.1,2.6145,527.2,938.25,0.8631,5748.0,158550.0,0.01003,459.5,76.255,24.0305,55.730000000000004,10.6735,1569.3,278.425,292.805,4900.5,166.2,0.7457,75.42,75.525,83.94,0.16712,601.8,93.52000000000001,12283.25,1176.1999999999998,1753.8,213.07,297.525,147.16000000000003,70.785,6.985,314.0,124.39500000000001,5504.0,456.2,6737.0,609.0,4.27075,125.21000000000001,23394.0,345.065,0.048697500000000005,84.35,3351.0,62.99,118.405,2.1465
2022-01-09,4203.95,1232.825,5822.9,2021.625,43.7575,809.1500000000001,601.125,3477.5,610.45,1007.425,535.175,2005.375,93.72,1155.15,2.61325,526.4,942.375,0.86215,5754.5,157825.0,0.010017000000000002,459.75,75.9225,23.94575,55.375,10.69925,1561.9499999999998,278.1125,292.2475,4900.25,165.5,0.7447,75.86,75.2625,83.78999999999999,0.16709,601.9,93.265,12267.375,1193.1499999999999,1756.1999999999998,212.695,296.6875,146.23000000000002,70.5925,6.9825,313.0,125.3925,5488.5,455.6,6756.0,620.5,4.282375,125.255,23451.0,344.5325,0.04882375,84.0,3350.0,63.005,117.9425,2.152
2022-01-10,4196.4,1227.0,5830.0,2008.5,43.87,808.2,598.0,3484.0,605.6,1006.75,526.9,2010.0,93.6,1150.2,2.612,525.6,946.5,0.8612,5761.0,157100.0,0.010004,460.0,75.59,23.861,55.02,10.725,1554.6,277.8,291.69,4900.0,164.8,0.7437,76.3,75.0,83.64,0.16706,602.0,93.01,12251.5,1210.1,1758.6,212.32,295.85,145.3,70.4,6.98,312.0,126.39,5473.0,455.0,6775.0,632.0,4.294,125.3,23508.0,344.0,0.04895,83.65,3349.0,63.02,117.48,2.1575
2022-01-11,4338.2,1239.8,5945.0,2054.0,44.98,823.0,608.5,3513.0,610.0,1012.75,507.6,2001.5,96.66,1151.6,2.614,529.0,958.5,0.862,5811.0,156050.0,0.01,466.4,76.26,24.13,57.09,10.666,1572.4,278.15,291.88,4892.0,165.8,0.7521,76.9,75.95,83.83,0.16738,613.6,94.0,12381.0,1254.0,1779.8,217.28,296.2,150.03,69.96,7.126,311.85,126.95,5505.5,475.0,6816.0,690.0,4.3895,124.42,23734.0,343.74,0.05026,84.82,3397.0,63.2,121.71,2.2345
